lat,lon,rain
43.06,141.35,856.0
40.82,140.74,1306.0
39.70,141.17,1235.0
38.26,140.88,1249.0
39.72,140.09,1770.0
38.24,140.36,1202.0
37.76,140.47,1113.0
36.57,136.63,2399.0
37.42,136.90,2081.0
37.90,139.02,1839.0
36.40,140.47,1168.0
35.69,139.69,1528.0
35.66,139.44,1380.0
35.46,139.64,1735.0
35.36,139.63,1602.0
35.26,137.21,1677.0
35.17,136.97,1529.0
35.40,136.72,2066.0
35.01,135.73,1488.0
34.69,135.52,899.0
34.69,135.19,1281.0
34.40,132.46,1540.0
34.34,134.04,1082.0
33.84,132.77,1315.0
33.56,133.54,2661.0
34.05,131.80,1740.0
33.58,130.38,1611.0
33.61,130.42,1723.0
32.74,129.87,1923.0
31.55,130.55,2277.0
28.38,129.49,2429.0
26.21,127.68,2108.0
24.33,124.16,1910.0
26.72,128.25,2330.0
27.84,128.88,2185.0
32.82,131.40,1756.0
33.08,131.91,1683.0
33.24,131.61,1598.0
34.09,134.56,1100.0
33.96,133.41,1390.0
34.75,134.77,1180.0
35.50,134.24,1960.0
35.84,134.43,1870.0
35.94,136.19,2460.0
36.22,137.97,2180.0
36.70,138.01,1089.0
36.94,138.18,1645.0
37.33,138.91,1456.0
37.12,138.25,3180.0
38.00,140.37,1340.0
